Gm21747	ENSMUSG00000095438.1
Gm21370	ENSMUSG00000095029.1
Gm20939	ENSMUSG00000095193.1
Gm20731	ENSMUSG00000102912.1
Gm20701	ENSMUSG00000093758.1
Gm20429	ENSMUSG00000092591.1
Gm20406	ENSMUSG00000092418.1
Gm20109	ENSMUSG00000097714.1
Gm19557	ENSMUSG00000097990.1
Gm18753	ENSMUSG00000107262.1
Gm18748	ENSMUSG00000106444.1
Gm1821	ENSMUSG00000044285.7
Gm1818	ENSMUSG00000091277.1
Gm17981	ENSMUSG00000101135.1
Gm17705	ENSMUSG00000090936.2
Gm17300	ENSMUSG00000091021.1
Gm17020	ENSMUSG00000091149.1
Gm16477	ENSMUSG00000062758.6
Gm16349	ENSMUSG00000085678.1
Gm16305	ENSMUSG00000085361.2
Gm16301	ENSMUSG00000089643.2
Gm16272	ENSMUSG00000086582.1
Gm16253	ENSMUSG00000087610.1
Gm16248	ENSMUSG00000086137.1
Gm16236	ENSMUSG00000089965.1
Gm16224	ENSMUSG00000084986.1
Gm16177	ENSMUSG00000082484.1
Gm16174	ENSMUSG00000087593.1
Gm16148	ENSMUSG00000082605.1
Gm16133	ENSMUSG00000089854.1
Gm16128	ENSMUSG00000080971.1
Gm16117	ENSMUSG00000089723.1
Gm16113	ENSMUSG00000089910.1
Gm16100	ENSMUSG00000083045.1
Gm16060	ENSMUSG00000086123.3
Gm16053	ENSMUSG00000083974.1
Gm16043	ENSMUSG00000090151.1
Gm15991	ENSMUSG00000087266.1
Gm15981	ENSMUSG00000080700.2
Gm15932	ENSMUSG00000086341.1
Gm15900	ENSMUSG00000090036.1
Gm15838	ENSMUSG00000090106.1
Gm15799	ENSMUSG00000082130.1
Gm15738	ENSMUSG00000087526.1
Gm15634	ENSMUSG00000086279.1
Gm15632	ENSMUSG00000086297.1
Gm15628	ENSMUSG00000089733.1
Gm15564	ENSMUSG00000086324.8
Gm15561	ENSMUSG00000085539.1
Gm15549	ENSMUSG00000081745.1
Gm15543	ENSMUSG00000086863.1
Gm15526	ENSMUSG00000080205.2
Gm15487	ENSMUSG00000080242.5
Gm15467	ENSMUSG00000081594.1
Gm15443	ENSMUSG00000082588.1
Gm15409	ENSMUSG00000087272.1
Gm15382	ENSMUSG00000083083.1
Gm15353	ENSMUSG00000079146.2
Gm15349	ENSMUSG00000082682.1
Gm15342	ENSMUSG00000085884.1
Gm15243	ENSMUSG00000085695.1
Gm15198	ENSMUSG00000083429.2
Gm15152	ENSMUSG00000081782.1
Gm14860	ENSMUSG00000082812.1
Gm14794	ENSMUSG00000081673.1
Gm14620	ENSMUSG00000083112.1
Gm14567	ENSMUSG00000080896.5
Gm14494	ENSMUSG00000083097.3
Gm14389	ENSMUSG00000087520.2
Gm14260	ENSMUSG00000086658.1
Gm14018	ENSMUSG00000084407.1
Gm13898	ENSMUSG00000086409.3
Gm13868	ENSMUSG00000083306.1
Gm13748	ENSMUSG00000086836.1
Gm13665	ENSMUSG00000082455.3
Gm13641	ENSMUSG00000082190.1
Gm13588	ENSMUSG00000084124.1
Gm13577	ENSMUSG00000082127.2
Gm13543	ENSMUSG00000083745.1
Gm13502	ENSMUSG00000083287.4
Gm13406	ENSMUSG00000083233.1
Gm13388	ENSMUSG00000085716.1
Gm13370	ENSMUSG00000084383.1
Gm13356	ENSMUSG00000083057.1
Gm13350	ENSMUSG00000083070.2
Gm13268	ENSMUSG00000070271.7
Gm13246	ENSMUSG00000083235.1
Gm13184	ENSMUSG00000085043.1
Gm13156	ENSMUSG00000083340.1
Gm13123	ENSMUSG00000083708.1
Gm13092	ENSMUSG00000085787.3
Gm13053	ENSMUSG00000085574.1
Gm13007	ENSMUSG00000083852.1
Gm12985	ENSMUSG00000080946.1
Gm12941	ENSMUSG00000084088.1
Gm12918	ENSMUSG00000066315.9
Gm12828	ENSMUSG00000086876.1
Gm12808	ENSMUSG00000083995.1
Gm12739	ENSMUSG00000083783.1
Gm12689	ENSMUSG00000070891.2
Gm12677	ENSMUSG00000081127.1
Gm12564	ENSMUSG00000080723.1
Gm12531	ENSMUSG00000086090.1
Gm12523	ENSMUSG00000084863.1
Gm12490	ENSMUSG00000081569.1
Gm12485	ENSMUSG00000083842.1
Gm12418	ENSMUSG00000083139.1
Gm12391	ENSMUSG00000081720.1
Gm12279	ENSMUSG00000087120.1
Gm12188	ENSMUSG00000082116.1
Gm12178	ENSMUSG00000081952.1
Gm12094	ENSMUSG00000080851.1
Gm12081	ENSMUSG00000084905.1
Gm12057	ENSMUSG00000101716.1
Gm12042	ENSMUSG00000084048.1
Gm11962	ENSMUSG00000085232.3
Gm11935	ENSMUSG00000081206.1
